cell_hash,B,T_max_s,k,lambda_bg,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
5aa641dc83ab,20,30,3,100,14,6,False,7,0.1,0.008844730602645672
5aa641dc83ab,20,30,3,100,15,7,True,82,0.8,0.005348839278620012
5aa641dc83ab,20,30,3,100,16,7,True,87,0.9,0.007031690926154569
5aa641dc83ab,20,30,3,100,17,7,True,19,0.4,0.01808157423352191
5aa641dc83ab,20,30,3,100,18,7,True,93,0.7,0.017153461402655976
5aa641dc83ab,20,30,3,100,19,7,True,74,0.5,0.05903045717380425
5aa641dc83ab,20,30,3,100,20,7,True,77,0.4,0.07249107057572805
5aa641dc83ab,20,30,3,100,21,7,True,108,0.7,0.01745311811760178
5aa641dc83ab,20,30,3,100,22,7,True,116,0.9,0.022674584625723377
5aa641dc83ab,20,30,3,100,23,7,True,18,0.3,0.004048539966353793
5aa641dc83ab,20,30,3,100,24,7,True,54,0.7,0.06302874473618304
5aa641dc83ab,20,30,3,100,25,7,True,54,0.7,0.16943166645018934
5aa641dc83ab,20,30,3,100,26,7,True,84,0.6,0.169517660865277
5aa641dc83ab,20,30,3,100,27,7,True,27,0.7,0.20036284952303343
5aa641dc83ab,20,30,3,100,28,7,True,68,0.7,0.039017654006569806
5aa641dc83ab,20,30,3,100,29,7,True,836,0.8,0.007546460889076091
da2ef08eb32f,20,300,3,100,0,7,True,103,0.3,0.01779742200395086
da2ef08eb32f,20,300,3,100,1,7,True,109,0.8,0.010383283013962541
da2ef08eb32f,20,300,3,100,2,7,True,82,0.7,0.029624713767705865
da2ef08eb32f,20,300,3,100,3,7,True,14,0.7,0.2592630884733983
da2ef08eb32f,20,300,3,100,4,7,True,58,0.6,0.004044685735571046
da2ef08eb32f,20,300,3,100,5,7,True,795,0.6,0.004662580312879686
da2ef08eb32f,20,300,3,100,6,7,True,133,0.6,0.001168386484250185
da2ef08eb32f,20,300,3,100,7,7,True,101,0.8,0.013591817988403008
da2ef08eb32f,20,300,3,100,8,7,True,26,0.4,0.05264618676245143
da2ef08eb32f,20,300,3,100,9,7,True,868,0.8,0.007165913756217785
da2ef08eb32f,20,300,3,100,10,7,True,73,0.9,0.058451310181064094
da2ef08eb32f,20,300,3,100,11,7,True,84,0.3,0.015319413587251113
da2ef08eb32f,20,300,3,100,12,7,True,63,0.7,0.004344576622728066
da2ef08eb32f,20,300,3,100,13,7,True,66,0.6,0.0013741064230065774
da2ef08eb32f,20,300,3,100,14,7,True,28,0.4,0.05740471682112752
da2ef08eb32f,20,300,3,100,15,7,True,16,0.6,0.0882718557007473
da2ef08eb32f,20,300,3,100,16,7,True,41,0.9,0.0034102569400459725
da2ef08eb32f,20,300,3,100,17,7,True,40,0.7,0.005497863251506559
da2ef08eb32f,20,300,3,100,18,7,True,33,0.4,0.08281837201309089
da2ef08eb32f,20,300,3,100,19,7,True,81,0.6,0.07965301796948121
da2ef08eb32f,20,300,3,100,20,7,True,81,0.6,0.001337814000977818
da2ef08eb32f,20,300,3,100,21,7,True,99,0.5,0.04675515141641193
da2ef08eb32f,20,300,3,100,22,7,True,227,0.7,0.002489115722696539
da2ef08eb32f,20,300,3,100,23,7,True,30,0.6,0.14578398294162057
da2ef08eb32f,20,300,3,100,24,7,True,93,0.7,0.058917050786810365
da2ef08eb32f,20,300,3,100,25,7,True,20,0.7,0.006288526134116043
da2ef08eb32f,20,300,3,100,26,7,True,98,0.6,0.04654100588655321
da2ef08eb32f,20,300,3,100,27,7,True,72,0.6,0.24593399395583262
da2ef08eb32f,20,300,3,100,28,7,True,82,0.9,0.008126273971973639
da2ef08eb32f,20,300,3,100,29,7,True,19,0.7,0.08823075822847566
56559c92deca,20,1800,3,100,0,7,True,39,0.5,0.04515972673389515
56559c92deca,20,1800,3,100,1,7,True,118,0.9,0.0220199620439116
56559c92deca,20,1800,3,100,2,7,True,45,0.7,0.024257768476982303
56559c92deca,20,1800,3,100,3,7,True,26,0.5,0.09315890407478016
56559c92deca,20,1800,3,100,4,7,True,42,0.6,0.020410009027966587
56559c92deca,20,1800,3,100,5,7,True,59,0.7,0.018164483866656422
56559c92deca,20,1800,3,100,6,7,True,15,0.7,0.1518422305108102
56559c92deca,20,1800,3,100,7,7,True,27,0.6,0.01252574498992183
56559c92deca,20,1800,3,100,8,7,True,40,0.8,0.003709734992279629
56559c92deca,20,1800,3,100,9,7,True,21,0.5,0.15179032003190862
56559c92deca,20,1800,3,100,10,7,True,380,0.7,0.0019638076502341132
56559c92deca,20,1800,3,100,11,7,True,63,0.6,0.1337186463470485
56559c92deca,20,1800,3,100,12,7,True,37,0.7,0.05560278841698336
56559c92deca,20,1800,3,100,13,7,True,61,0.8,0.00440304207388942
56559c92deca,20,1800,3,100,14,7,True,329,0.8,0.002811780725791469
56559c92deca,20,1800,3,100,15,7,True,17,0.5,0.046238344743507416
56559c92deca,20,1800,3,100,16,7,True,82,0.7,0.009434595819054129
56559c92deca,20,1800,3,100,17,7,True,88,0.3,0.004230053367327768
56559c92deca,20,1800,3,100,18,7,True,46,0.7,0.08744939208914919
56559c92deca,20,1800,3,100,19,7,True,818,0.9,0.0028557799830946223
56559c92deca,20,1800,3,100,20,7,True,50,0.2,0.007179848387508627
56559c92deca,20,1800,3,100,21,7,True,92,0.8,0.03834809384497579
56559c92deca,20,1800,3,100,22,7,True,36,0.6,0.07260804651515086
56559c92deca,20,1800,3,100,23,7,True,38,0.7,0.020026424104287555
56559c92deca,20,1800,3,100,24,7,True,159,0.6,0.016808646303478586
56559c92deca,20,1800,3,100,25,7,True,53,0.7,0.005735086384039357
56559c92deca,20,1800,3,100,26,7,True,11,0.2,0.08377406606467816
56559c92deca,20,1800,3,100,27,7,True,56,0.5,0.06162736868369675
56559c92deca,20,1800,3,100,28,7,True,28,0.6,0.03755232132500983
56559c92deca,20,1800,3,100,29,7,True,274,0.9,0.004842163518469896
79e90ce52429,20,300,1,100,0,3,False,6,0.3,0.17182569973181314
79e90ce52429,20,300,1,100,1,7,True,25,0.4,0.00991391313953
79e90ce52429,20,300,1,100,2,7,True,81,0.5,0.0060960158947426365
79e90ce52429,20,300,1,100,3,7,True,13,0.5,0.1532485603490779
79e90ce52429,20,300,1,100,4,4,False,1,0.1,0.00995811792661878
79e90ce52429,20,300,1,100,5,7,False,10,0.6,0.0927889049595104
79e90ce52429,20,300,1,100,6,3,False,3,0.3,0.0076353771786972936
79e90ce52429,20,300,1,100,7,7,False,6,0.3,0.0019665662477063497
79e90ce52429,20,300,1,100,8,7,True,26,0.6,0.08258842195434729
79e90ce52429,20,300,1,100,9,5,False,4,0.3,0.020675079757253502
79e90ce52429,20,300,1,100,10,7,True,19,0.4,0.08171049685099839
79e90ce52429,20,300,1,100,11,7,True,19,0.7,0.002654950208402748
79e90ce52429,20,300,1,100,12,7,True,18,0.4,0.0031435367139447277
79e90ce52429,20,300,1,100,13,7,True,57,0.8,0.07174795304868206
79e90ce52429,20,300,1,100,14,6,False,8,0.3,0.00031422963996403805
79e90ce52429,20,300,1,100,15,7,True,80,0.6,0.2096124156694953
79e90ce52429,20,300,1,100,16,7,True,46,0.7,0.039621989963574494
79e90ce52429,20,300,1,100,17,7,False,8,0.6,0.17499341349197262
79e90ce52429,20,300,1,100,18,7,True,18,0.5,0.004957870546792148
79e90ce52429,20,300,1,100,19,7,True,23,0.8,0.059665592192783036
79e90ce52429,20,300,1,100,20,7,True,19,0.6,0.00037840399906557054
79e90ce52429,20,300,1,100,21,7,True,38,0.6,0.022964205750190037
79e90ce52429,20,300,1,100,22,7,False,8,0.4,0.010565718373807912
79e90ce52429,20,300,1,100,23,7,True,79,0.7,0.04410244684200603
79e90ce52429,20,300,1,100,24,6,False,5,0.4,0.0027573653210328005
79e90ce52429,20,300,1,100,25,7,True,47,0.8,0.0002911149121669869
79e90ce52429,20,300,1,100,26,7,True,41,0.7,0.03908474307465387
79e90ce52429,20,300,1,100,27,7,True,31,0.2,0.0028258756233445694
79e90ce52429,20,300,1,100,28,7,True,118,0.6,0.01865689852038094
79e90ce52429,20,300,1,100,29,7,False,10,0.5,0.0024455473702605472
64fda48de7a5,20,300,5,100,0,7,True,200,0.8,0.01764521257619696
64fda48de7a5,20,300,5,100,1,7,True,176,0.7,0.0008884342045566944
64fda48de7a5,20,300,5,100,2,7,True,68,0.6,0.0002577746853828578
64fda48de7a5,20,300,5,100,3,7,True,123,0.7,0.0590785832706928
64fda48de7a5,20,300,5,100,4,7,True,108,0.6,0.06847745828341295
64fda48de7a5,20,300,5,100,5,7,True,94,0.5,0.019302444116343007
64fda48de7a5,20,300,5,100,6,7,True,102,0.7,1.0371290754116746e-05
64fda48de7a5,20,300,5,100,7,7,True,31,0.6,0.07761814690713141
64fda48de7a5,20,300,5,100,8,7,True,884,1.0,0.005558270404434901
64fda48de7a5,20,300,5,100,9,7,True,59,0.8,0.00519235453379657
