site,run,strategy,main_dns_ms,total_dns_sum_ms,wall_clock_dns_ms,page_load_ms,unique_domains_resolved
static.whatsapp.net,1,odoh,18.291,83.49900000000001,43.11300000000003,673.7000007629395,3
newrelic.com,1,odoh,24.979,319.7569999999999,252.79000000000053,1479.599998474121,15
opera.com,1,odoh,21.118,309.534,221.12299999999976,1364.099998474121,14
sync.richaudience.com,1,odoh,20.119,20.119,20.119,412.70000076293945,1
btloader.com,1,odoh,18.614,18.614,18.614,118.69999885559082,1
vungle.com,1,odoh,34.502,688.205,410.8650000000001,3349.3999996185303,29
office365.com,1,odoh,20.208,947.8420000000003,749.8070000000008,4435.700000762939,45
snapkit.com,1,odoh,0.0,161.873,127.05200000000013,1488.7999992370605,8
s.amazon-adsystem.com,1,odoh,17.583,17.583,17.583,91.79999923706055,1
search.namequery.com,1,odoh,16.503,16.503,16.503,131.89999961853027,1
tenable.com,1,odoh,19.04,1707.7509999999995,878.6120000000002,2993.6000003814697,72
cornell.edu,1,odoh,18.395,393.4509999999999,269.56,1213.099998474121,14
na.api.amazonvideo.com,1,odoh,41.354,41.354,41.354,117.30000114440918,1
inappcheck.itunes.apple.com,1,odoh,34.169,34.169,34.169,163.60000038146973,1
yandex.net,1,odoh,529.491,710.175,671.9140000000002,6544,9
x.bidswitch.net,1,odoh,28.791,28.791,28.791,131.19999885559082,1
api.ipify.org,1,odoh,19.646,19.646,19.646,101,1
firebaselogging.googleapis.com,1,odoh,0.0,21.337,21.33699999999999,256.1000003814697,1
